"res","f1","f2","f3","f4","f5","f6","f7","f8"
0,17,0,7,119,8,0,3,68
0,19,0,10,118,10,0,5,66
0,26,0,7,108,15,0,3,56
0,26,0,10,100,14,0,4,54
0,24,0,9,101,13,0,4,53
0,22,0,7,110,13,0,3,50
0,22,0,6,110,12,0,3,50
0,20,0,4,105,11,0,2,46
0,22,0,6,100,10,0,2,41
0,21,0,4,89,9,0,0,47
0,15,0,3,92,7,0,1,53
0,18,0,2,95,10,0,0,55
0,13,0,5,99,7,0,1,59
0,14,0,2,91,6,0,0,53
0,21,0,4,90,12,0,1,51
0,19,0,0,88,11,0,0,48
0,12,0,3,94,6,0,0,51
0,7,0,4,106,3,0,1,56
0,7,0,2,107,2,0,0,55
0,17,0,9,117,10,0,5,66
0,23,0,7,107,14,0,4,59
0,23,0,8,102,14,0,4,54
0,26,0,9,103,16,0,5,55
0,24,0,4,96,15,0,1,53
0,23,0,10,114,14,0,6,59
0,21,0,11,117,13,0,5,57
0,17,0,11,121,11,0,6,67
0,17,0,10,111,10,0,5,63
0,19,0,9,110,9,0,5,66
0,17,0,10,94,8,0,5,52
0,13,0,4,100,7,0,1,59
0,11,0,7,97,6,0,3,58
0,8,0,7,101,5,0,4,61
0,8,0,9,104,5,0,4,64
0,13,0,7,93,7,0,3,58
0,20,0,3,82,12,0,1,46
0,16,0,5,92,9,0,2,56
0,4,0,5,106,2,0,1,61
0,4,0,9,108,2,0,5,62
0,7,0,8,106,4,0,3,62
0,16,0,14,111,9,0,8,65
0,24,0,18,111,15,0,10,68
0,32,0,11,96,20,0,6,54
0,32,0,14,97,20,0,8,55
0,28,0,15,96,17,0,10,56
0,26,0,16,99,17,0,10,57
0,23,0,15,108,14,0,9,59
0,21,0,15,112,13,0,8,65
0,21,0,16,108,13,0,9,64
0,23,0,13,101,12,0,7,61
0,23,0,13,99,11,0,7,61
0,18,0,11,91,9,0,6,57
0,11,0,11,94,6,0,6,61
0,11,0,6,88,6,0,3,58
0,8,0,12,94,5,0,8,62
0,6,0,15,98,4,0,7,66
0,11,0,20,97,5,0,11,66
0,19,0,9,80,11,0,4,56
0,19,0,9,81,11,0,4,55
0,13,0,9,80,8,0,5,56
0,8,0,11,87,4,0,5,57
0,4,0,10,84,2,0,4,54
0,7,0,14,94,3,0,8,62
0,10,0,19,98,5,0,12,63
0,21,0,21,100,12,0,13,66
0,23,0,20,94,14,0,12,62
0,27,0,20,91,16,0,12,60
0,27,0,16,85,17,0,10,58
0,27,0,20,85,17,0,12,54
0,27,0,16,85,17,0,9,55
0,24,0,18,83,15,0,11,43
0,26,0,17,89,16,0,9,54
0,25,0,14,88,15,0,6,56
0,20,0,16,89,12,0,9,60
0,21,0,11,83,10,0,5,52
0,24,0,9,76,11,0,5,50
0,20,0,14,78,9,0,8,53
0,11,0,14,77,6,0,7,51
0,8,0,12,78,4,0,7,53
0,6,0,14,87,4,0,7,55
0,5,0,16,91,3,0,8,62
0,7,0,16,88,4,0,8,60
0,14,0,16,79,8,0,7,57
0,18,0,9,75,11,0,5,54
0,14,0,6,73,8,0,3,53
0,10,0,7,63,6,0,4,42
0,5,0,5,75,2,0,2,50
0,4,0,6,77,2,0,2,50
0,7,0,6,85,2,0,4,54
0,16,0,10,91,9,0,6,56
0,22,0,18,91,13,0,10,56
0,28,0,22,92,17,0,13,58
0,30,0,9,78,19,0,6,49
0,27,0,13,81,17,0,8,51
0,28,0,13,83,18,0,7,46
0,25,0,14,98,16,0,8,53
0,24,0,14,92,15,0,8,54
0,22,0,17,94,13,0,8,58
0,32,0,9,85,16,0,4,53
0,33,0,4,75,16,0,2,47
1,116,387,281,99,64,287,226,69
1,210,617,314,111,135,429,192,82
1,152,512,316,93,101,380,195,62
1,171,477,179,94,112,322,122,64
1,143,364,245,99,109,258,175,78
1,146,483,283,93,99,319,165,57
1,181,463,225,131,139,388,199,85
1,193,639,285,129,132,469,180,74
1,177,493,220,124,101,354,175,68
1,205,671,273,135,165,526,189,99
1,171,488,260,123,105,347,147,79
1,176,476,275,131,118,362,148,81
1,229,551,275,122,129,405,192,76
1,157,555,298,129,112,354,165,78
1,101,461,247,120,74,366,181,77
1,179,566,198,133,117,354,157,95
1,163,594,344,110,98,292,197,73
1,134,497,301,124,91,301,162,105
1,197,580,308,139,161,502,189,91
1,162,527,356,125,106,387,214,93
1,124,461,257,112,87,383,165,77
1,215,596,261,110,144,512,171,86
1,150,698,448,103,108,486,239,81
1,128,466,246,94,89,390,182,73
1,164,580,279,130,135,368,182,90
1,225,663,265,146,144,463,170,96
1,237,678,264,108,154,566,182,60
1,208,606,437,134,156,431,237,89
1,161,509,180,145,98,323,133,83
1,164,532,227,140,134,406,133,98
1,186,477,257,161,105,295,198,115
1,163,564,366,135,117,377,228,97
1,246,692,189,116,161,443,109,70
1,128,478,245,119,91,373,132,82
1,185,606,261,134,102,360,177,82
1,188,629,244,133,146,432,141,77
1,170,490,174,115,119,378,116,74
1,189,512,169,98,96,338,99,69
1,246,641,172,110,145,430,120,65
1,96,291,232,123,59,202,138,84
1,169,457,270,121,113,323,186,85
1,136,509,364,95,89,323,240,64
1,134,367,216,106,99,312,147,68
1,134,423,263,101,89,351,164,69
1,230,526,198,140,127,372,144,95
1,180,587,259,135,127,409,176,89
1,131,411,166,104,106,306,138,64
1,213,617,279,121,118,278,162,74
1,179,541,289,146,112,446,207,86
1,161,554,289,102,108,390,188,72
1,164,590,335,117,127,442,225,81
1,266,850,430,111,139,508,231,62
1,163,576,339,124,99,424,251,93
1,106,340,182,112,61,262,156,70
1,194,547,347,138,117,443,218,78
1,105,403,315,118,82,265,167,68
1,167,607,294,128,84,415,199,71
1,181,553,298,112,128,328,184,80
1,222,656,343,123,171,475,259,91
1,122,402,291,116,69,297,197,81
1,201,600,322,131,132,408,223,94
1,141,618,502,113,94,376,273,82
1,165,609,405,114,145,409,229,85
1,127,446,213,113,83,352,141,67
1,254,701,357,108,127,375,200,73
