"res","f1","f2","f3","f4","f5","f6","f7","f8"
0,0,0,0,0,14,0,15,6
0,0,0,1,0,25,3,13,0
0,0,0,0,0,18,7,10,0
0,0,0,0,0,32,0,5,0
0,1,0,0,0,21,3,12,3
0,0,0,0,0,22,2,9,3
0,0,0,0,0,14,0,12,0
0,0,0,0,0,21,1,6,0
0,0,0,1,0,17,0,11,0
0,0,0,1,0,17,3,8,0
0,0,0,0,0,18,0,6,0
0,0,0,0,0,19,2,11,0
0,0,0,0,0,19,0,14,0
0,0,0,0,0,19,3,9,0
0,0,0,0,0,14,3,7,5
0,0,0,0,0,15,0,12,0
0,0,0,0,0,17,0,11,0
0,0,0,0,0,14,3,5,0
0,0,0,0,0,18,0,7,5
0,0,0,0,0,17,1,11,0
0,0,0,0,0,17,0,14,0
0,0,0,0,0,20,0,12,0
0,0,0,0,0,18,0,10,0
0,0,0,1,0,14,0,12,0
0,0,0,0,0,13,1,7,4
0,0,0,1,0,10,1,12,1
0,0,0,0,0,9,0,11,7
0,0,1,1,0,11,9,10,0
0,0,0,0,0,11,1,10,0
0,0,0,0,0,13,3,14,0
0,0,1,0,0,10,9,13,0
0,0,0,1,0,16,7,15,2
0,0,0,0,0,12,0,16,6
0,0,0,0,0,11,0,16,0
0,0,1,0,0,12,8,15,0
0,0,0,1,0,14,2,23,0
0,0,0,0,1,14,0,10,19
0,0,0,1,0,14,3,12,0
0,0,0,1,0,16,3,18,0
0,0,0,1,0,14,4,17,3
0,0,0,0,0,20,1,8,9
0,0,0,0,0,11,0,8,0
0,0,0,1,0,13,3,9,0
0,0,0,1,0,24,1,21,0
0,0,0,0,0,23,0,11,3
0,0,0,1,0,17,7,13,0
0,0,0,0,0,14,3,11,0
0,0,0,1,0,12,3,15,2
0,0,0,0,0,14,2,10,0
0,0,0,1,0,16,0,18,0
0,0,0,0,0,13,2,11,8
0,0,0,1,0,23,2,12,0
0,0,0,1,0,16,3,9,3
0,0,0,0,0,11,0,4,0
0,0,0,1,0,15,2,14,2
0,0,0,0,0,18,3,10,0
0,0,0,0,1,20,0,20,18
0,0,0,1,0,19,3,16,0
0,0,0,1,0,15,3,14,0
0,0,0,1,0,18,3,8,0
0,0,0,1,0,13,4,18,10
0,0,0,0,0,19,0,6,0
0,0,1,1,0,14,8,14,5
0,0,0,1,0,14,6,14,0
0,0,0,1,0,13,0,20,0
0,0,0,1,0,11,0,23,6
0,0,1,1,0,17,7,8,3
0,0,0,1,0,13,3,9,7
0,0,0,1,0,16,3,15,0
0,0,0,1,0,12,0,23,4
0,0,0,1,0,6,1,22,0
0,0,0,0,1,11,0,14,22
0,0,0,1,0,12,1,16,0
0,0,0,1,0,13,4,19,0
0,0,0,1,0,9,3,18,0
0,0,0,0,0,17,8,6,7
0,0,2,1,0,17,17,8,0
0,0,1,1,0,10,10,21,11
0,0,0,1,0,6,0,20,3
0,0,0,1,0,11,3,18,0
0,0,0,1,0,14,2,16,0
0,0,0,1,0,13,0,26,9
0,0,0,1,0,11,4,17,0
0,0,1,1,0,12,8,11,0
0,0,0,1,0,11,6,13,0
0,0,1,1,0,11,7,11,0
0,0,1,1,0,11,6,14,0
0,0,0,1,0,12,3,26,11
0,0,0,1,0,14,7,13,2
0,0,0,1,0,17,1,21,6
0,0,0,1,0,14,2,20,2
0,0,0,1,0,13,3,12,0
0,0,1,1,0,8,6,7,0
0,0,0,1,0,8,4,12,0
0,0,0,1,0,12,1,20,0
0,0,0,1,0,13,4,15,1
0,0,2,1,0,8,14,12,1
0,0,0,1,0,8,8,11,0
0,0,2,1,0,13,11,13,0
0,0,1,1,0,10,11,14,1
1,3,61,6,6,120,259,381,81
1,5,116,13,14,233,697,705,283
1,5,111,17,15,178,702,1014,171
1,11,143,18,18,535,849,1380,328
1,6,132,11,6,284,762,684,162
