"res","f1","f2","f3","f4","f5","f6","f7","f8"
0,1,1,1,0,25,14,9,1
0,1,1,1,0,19,11,8,1
0,1,1,1,1,24,17,13,2
0,1,0,1,7,22,10,8,5
0,1,1,1,0,29,14,11,0
0,1,1,1,0,25,14,9,1
0,1,1,1,1,35,16,12,2
0,1,1,1,1,27,10,8,3
0,1,1,1,1,21,14,11,2
0,1,1,1,0,24,12,7,1
0,1,1,1,4,21,12,11,6
0,1,0,1,1,21,10,8,1
0,1,1,1,3,22,12,9,4
0,1,0,1,2,21,10,8,3
0,1,1,1,1,20,17,13,1
0,1,1,1,1,20,11,8,3
0,1,1,1,2,19,13,10,3
0,1,0,1,1,19,10,8,2
0,1,1,1,1,12,14,10,2
0,1,0,1,1,19,8,8,2
0,1,1,1,5,18,12,10,7
0,1,0,1,1,20,9,8,2
0,1,1,1,1,20,13,13,2
0,1,0,0,1,19,10,6,2
0,1,1,1,0,15,12,10,1
0,1,0,1,1,17,9,7,1
0,1,1,1,2,12,12,9,3
0,1,0,1,0,23,10,9,1
0,1,0,1,3,19,10,9,5
0,0,0,0,0,15,8,6,0
0,0,0,0,0,16,9,7,0
0,0,0,0,0,13,6,6,0
0,0,0,0,0,18,11,7,0
0,0,0,0,0,21,8,7,0
0,0,0,0,0,16,10,7,0
0,0,0,0,0,18,9,8,0
0,0,0,0,1,19,10,8,2
0,0,0,0,1,17,7,5,1
0,0,0,0,0,18,10,6,0
0,0,0,0,0,17,6,6,0
0,0,0,0,2,18,10,7,2
0,0,0,0,0,16,7,6,0
0,0,0,0,1,18,7,6,1
0,0,0,0,0,17,10,8,0
0,0,0,0,0,18,7,7,0
0,0,0,0,0,18,6,5,0
0,0,0,1,0,21,9,7,0
0,0,0,0,0,17,6,4,0
0,0,0,0,1,20,9,7,1
0,0,0,0,0,20,6,7,0
0,0,0,0,0,20,7,6,0
0,0,0,0,0,21,9,7,0
0,0,0,0,1,23,11,9,2
0,0,0,0,1,18,7,6,1
0,0,0,0,0,19,9,8,1
0,0,0,0,0,22,6,6,0
0,0,0,0,2,19,7,7,2
0,0,0,0,0,19,7,6,0
0,0,0,0,0,17,7,8,0
0,0,0,0,1,20,6,5,2
0,0,0,0,0,17,7,9,0
0,0,0,0,1,18,7,7,3
0,0,0,0,0,16,10,9,0
0,0,0,0,6,22,7,6,7
0,0,1,1,1,18,12,10,1
0,0,0,0,1,23,8,7,1
0,1,0,1,2,22,10,11,3
0,0,0,0,3,18,8,7,3
0,0,0,1,0,12,11,10,0
0,1,0,0,1,21,8,5,1
0,1,0,0,0,25,7,7,1
0,1,0,0,0,18,6,6,0
0,1,0,0,0,27,9,8,0
0,1,0,0,2,17,7,4,2
0,1,0,0,0,19,9,8,0
0,1,0,0,4,29,6,5,5
0,1,0,0,1,24,8,6,3
0,1,0,0,0,24,8,7,0
0,1,0,0,2,22,10,6,3
0,1,0,0,0,22,9,6,1
0,1,1,1,0,20,11,8,0
0,1,0,0,3,23,8,6,4
0,1,1,1,1,25,12,9,1
0,1,0,0,4,21,7,7,4
0,1,1,1,0,22,11,9,0
0,1,0,1,0,23,9,7,0
0,1,1,1,0,19,12,9,1
0,1,0,1,0,20,10,7,0
0,1,0,1,3,21,12,8,5
0,1,0,1,6,17,9,8,8
0,1,1,1,0,14,15,11,0
0,1,0,1,2,18,9,7,3
0,1,0,1,2,16,13,12,4
0,1,0,1,0,14,9,9,1
0,1,0,1,2,14,13,12,4
0,1,0,1,2,13,8,8,4
0,1,0,1,2,13,12,11,2
0,1,0,0,0,13,5,6,0
0,1,0,1,7,14,8,9,8
0,1,0,0,0,17,5,6,0
1,1,32,41,58,114,442,394,145
1,2,31,34,69,73,471,447,137
1,2,35,51,40,112,396,442,94
1,1,23,32,74,57,373,319,164
1,3,44,56,68,179,687,738,186
1,3,35,60,66,231,711,787,161
1,2,37,48,79,125,614,499,196
1,2,36,44,80,127,568,549,185
1,2,31,47,77,113,336,552,193
1,2,40,58,60,161,609,712,133
1,1,26,35,56,83,466,390,112
1,2,29,34,79,111,474,481,210
1,2,32,39,79,119,485,428,204
1,2,39,51,71,109,665,703,161
1,2,34,47,80,132,621,583,212
1,3,49,61,90,206,590,601,178
1,2,26,40,35,154,472,457,89
1,3,45,58,68,268,592,837,153
1,4,58,78,93,206,806,764,217
1,2,41,56,70,144,675,731,176
1,3,57,69,71,240,978,878,211
1,5,51,71,103,446,761,604,275
1,3,47,70,42,215,785,765,106
1,2,28,41,89,117,498,463,188
1,2,35,55,72,179,611,638,158
1,2,46,63,74,137,893,780,144
1,2,35,38,30,100,642,417,77
1,2,41,60,40,151,718,758,100
1,1,29,36,35,70,429,347,93
1,1,41,45,63,74,594,550,161
1,1,32,39,79,93,632,514,161
1,1,18,30,66,97,384,451,113
1,2,36,44,79,128,554,451,217
1,2,33,49,60,118,583,613,138
1,1,22,30,75,96,384,368,202
1,1,20,32,30,51,293,335,74
1,1,40,49,78,73,572,613,156
1,2,24,40,60,122,466,546,149
1,1,14,20,56,63,342,335,132
1,1,29,45,61,92,397,407,119
1,1,20,31,54,65,351,396,134
1,1,21,32,38,72,375,435,107
1,1,25,35,38,63,453,457,102
1,1,20,29,84,59,398,277,147
1,1,16,25,33,77,334,318,81
1,2,31,41,59,81,643,538,139
1,1,13,24,49,89,181,365,124
1,1,28,40,45,104,564,561,119
1,2,22,39,55,127,429,596,137
1,1,19,28,28,96,370,367,63
1,1,18,34,45,56,358,502,134
1,1,27,41,51,102,479,520,129
1,2,37,55,77,132,644,577,194
1,2,38,59,53,124,421,623,140
1,1,21,26,53,45,380,317,117
1,1,19,25,52,85,439,353,128
1,1,26,36,42,84,451,456,98
1,1,23,38,37,119,348,505,104
1,1,23,36,118,90,380,410,290
1,1,28,37,28,69,541,388,62
1,1,17,26,45,33,317,418,113
1,1,31,43,55,64,604,497,134
1,2,29,45,38,119,538,557,83
1,1,25,32,64,44,516,416,141
1,1,21,40,43,75,325,492,97
1,1,21,35,49,114,436,379,128
1,2,29,49,43,132,646,777,114
1,1,19,30,59,83,387,427,149
1,1,43,53,77,94,615,560,201
1,1,23,36,95,40,341,529,199
1,1,20,32,40,62,405,540,126
1,1,25,42,54,68,482,586,130
1,1,15,28,63,62,348,358,146
1,1,27,40,67,63,492,484,148
1,1,22,33,42,70,395,467,92
1,1,13,26,35,58,219,329,98
1,1,13,19,51,35,234,259,132
1,1,16,25,52,45,248,370,156
1,1,15,20,86,37,284,251,170
1,3,27,46,54,167,419,410,140
1,1,22,34,56,69,341,308,158
1,1,32,42,40,58,536,399,93
1,1,20,35,61,76,380,500,154
1,2,19,34,26,92,357,392,57
1,1,21,27,44,42,329,287,117
1,1,18,30,46,75,371,374,133
1,1,32,49,56,67,522,544,170
1,1,24,38,63,48,559,494,163
1,1,23,38,51,57,410,448,138
1,2,27,43,47,115,495,548,125
1,1,22,30,51,54,265,256,140
1,1,21,37,42,38,369,517,104
1,1,16,25,38,100,231,347,94
1,2,27,37,71,109,433,429,173
1,1,10,22,50,78,242,353,110
1,1,15,25,36,37,279,308,78
1,1,11,18,48,55,258,276,86
1,1,26,35,46,47,448,399,101
1,1,30,39,48,56,481,471,124
1,1,8,20,23,75,159,311,39
2,1,4,6,185,62,101,76,406
2,1,3,6,125,30,37,76,224
2,1,2,5,164,85,30,55,360
2,1,2,2,61,74,37,30,144
2,1,1,2,78,78,24,35,146
2,1,1,2,109,42,16,24,240
2,1,2,6,94,63,39,70,256
2,1,1,4,62,88,19,57,172
2,1,1,3,73,45,24,18,175
2,1,2,2,110,51,38,33,214
2,1,1,3,72,64,22,51,201
2,1,3,5,131,32,55,59,195
2,1,2,5,96,45,46,93,214
2,1,1,4,99,29,25,54,227
2,1,1,5,145,55,32,62,308
2,1,1,4,119,50,22,55,232
2,1,1,6,127,54,28,74,289
2,1,2,5,114,42,38,78,291
2,1,2,3,66,43,46,48,149
2,1,1,4,81,42,26,52,149
2,1,1,3,123,70,34,41,323
2,1,2,1,97,40,31,17,295
2,1,3,5,123,34,60,65,364
