4,343,281,92,277
4,351,289,99,263
4,336,292,102,272
4,352,283,97,269
4,341,290,99,268
4,335,288,95,267
4,339,291,96,269
4,332,287,97,254
4,331,285,98,271
4,337,288,97,245
4,325,282,102,271
4,331,289,101,286
4,339,292,95,274
4,337,293,107,286
4,337,278,108,279
4,325,290,105,279
4,348,285,96,263
4,342,291,102,257
4,338,287,96,250
4,349,290,105,278
4,347,293,107,277
4,330,285,105,292
4,340,286,108,271
4,336,291,109,278
4,339,285,103,251
4,338,285,108,279
4,358,290,91,243
4,341,288,98,234
4,335,285,90,262
4,337,278,98,281
4,354,286,100,279
4,345,290,105,289
4,355,286,98,282
4,345,284,95,266
4,355,287,99,275
4,341,285,98,252
4,352,284,96,267
4,350,278,102,290
4,347,279,99,303
4,348,285,102,273
4,354,285,97,274
4,361,286,101,275
4,350,284,95,302
4,351,289,103,264
4,366,292,103,283
4,355,286,112,298
4,355,287,102,311
4,363,287,111,310
4,370,288,110,287
4,367,289,100,294
4,361,294,106,334
4,375,287,99,301
4,369,289,108,283
4,365,286,106,313
4,366,290,117,333
4,361,285,106,311
4,358,283,108,291
4,374,289,110,318
4,367,295,122,301
4,370,293,111,316
4,364,288,113,341
4,363,290,104,332
4,363,287,108,291
4,360,284,112,300
4,364,288,106,301
4,360,286,115,306
4,364,279,113,311
4,359,282,117,294
4,370,282,113,308
4,364,290,116,302
4,353,285,117,339
4,367,289,113,328
4,356,285,114,309
4,366,286,111,296
4,349,286,113,277
4,369,282,108,286
4,366,287,118,306
4,364,278,114,292
4,377,283,122,296
4,361,278,105,315
4,363,288,110,310
4,359,287,112,280
4,368,289,119,316
4,361,287,111,306
4,360,284,109,297
4,363,285,111,271
4,374,285,114,285
4,364,283,102,275
4,359,285,112,292
4,362,286,114,300
4,369,288,106,277
4,360,289,107,279
4,358,285,104,291
4,358,295,111,305
4,346,283,107,286
4,365,285,104,286
4,357,285,101,278
4,356,284,95,306
4,366,286,100,265
4,352,286,103,282
4,358,287,102,272
4,361,287,107,312
4,351,283,104,305
4,340,279,104,271
4,355,292,104,273
4,350,290,105,284
4,349,289,104,271
4,358,291,107,302
4,362,287,103,295
4,350,289,114,309
4,351,285,99,280
4,358,289,103,276
4,360,291,111,280
4,344,291,100,277
4,358,288,106,299
4,369,288,109,276
4,363,289,112,311
4,346,289,104,285
4,353,288,104,279
4,348,287,104,267
4,353,295,105,268
4,345,289,101,273
4,364,291,109,271
4,349,287,95,262
4,350,292,101,266
4,348,293,103,260
4,354,292,102,243
4,341,287,99,274
4,345,291,98,293
4,349,290,104,284
4,344,291,100,241
4,348,295,96,262
4,346,284,97,280
4,352,290,102,283
4,345,287,101,288
4,346,290,97,265
4,333,288,93,258
4,344,292,99,258
4,330,289,97,260
4,343,284,87,230
4,341,290,96,272
4,337,284,91,303
4,337,285,98,280
4,344,289,101,270
4,330,288,93,246
4,340,291,97,290
4,339,292,98,272
4,346,298,107,288
4,346,287,93,289
4,338,290,96,280
4,340,288,99,283
4,340,292,102,275
4,346,289,95,282
4,344,288,95,285
4,338,286,99,254
4,338,288,93,274
4,333,287,101,281
4,344,286,106,284
4,340,289,98,266
4,339,282,86,270
4,354,290,104,309
4,340,287,102,282
4,352,296,105,281
4,357,289,92,289
4,352,289,111,292
4,349,286,103,284
4,358,295,104,277
4,352,287,99,266
4,367,289,97,280
4,347,281,102,272
4,359,288,104,289
4,359,298,112,294
4,352,288,105,322
4,369,286,105,300
4,366,288,98,320
4,365,292,111,309
4,379,293,104,295
4,368,289,111,319
4,375,304,104,306
4,361,290,104,310
4,371,283,108,319
4,365,288,96,298
4,368,287,99,288
4,370,290,110,298
4,381,290,110,332
4,371,295,119,330
4,365,291,112,326
4,351,286,103,304
4,364,290,107,326
4,359,288,107,322
4,361,285,109,319
4,355,287,103,305
4,346,278,109,325
4,382,291,109,302
4,362,281,112,325
4,367,286,115,294
4,356,287,116,311
4,355,285,112,300
4,367,285,103,292
4,361,282,122,322
4,358,286,107,298
4,364,286,105,298
4,369,290,110,325
4,383,292,119,342
4,360,284,109,289
4,376,284,105,297
4,364,287,119,278
4,378,286,105,288
4,370,286,119,310
4,357,284,113,308
4,360,286,106,289
4,370,288,109,282
4,376,287,105,302
4,363,285,103,294
4,358,289,109,286
4,370,286,97,292
4,370,284,108,263
4,350,287,111,281
4,370,288,105,267
4,377,286,112,277
4,352,282,102,285
4,366,291,98,253
4,355,279,101,263
4,356,286,102,273
4,357,284,100,270
4,351,286,107,294
4,360,288,104,312
4,356,286,106,280
4,352,289,109,267
4,350,290,98,256
4,357,277,96,275
4,358,292,111,303
4,342,291,107,269
4,349,288,103,253
4,356,293,105,259
4,348,284,104,255
4,349,283,96,278
